N,Min,Max,Random Number,Steps
50000,1,500000,17655,123
50000,1,500000,21890,43
50000,1,500000,1914,55
50000,1,500000,22648,38
50000,1,500000,15293,177
50000,1,500000,11874,143
50000,1,500000,25473,108
50000,1,500000,13738,107
50000,1,500000,24722,95
50000,1,500000,23011,56
50000,1,500000,9536,29
50000,1,500000,27883,90
50000,1,500000,27035,90
50000,1,500000,17831,53
50000,1,500000,5024,41
50000,1,500000,14858,40
50000,1,500000,12729,107
50000,1,500000,30230,90
50000,1,500000,8757,34
50000,1,500000,32738,67
50000,1,500000,6063,142
50000,1,500000,30968,116
50000,1,500000,27003,90
50000,1,500000,28554,77
50000,1,500000,22664,131
50000,1,500000,26179,139
50000,1,500000,29792,41
50000,1,500000,12235,112
50000,1,500000,26931,90
50000,1,500000,25393,38
50000,1,500000,1795,68
50000,1,500000,6359,80
50000,1,500000,4977,90
50000,1,500000,23446,131
50000,1,500000,17084,172
50000,1,500000,22583,149
50000,1,500000,23025,56
50000,1,500000,25969,139
50000,1,500000,19292,167
50000,1,500000,4358,46
50000,1,500000,26552,46
50000,1,500000,705,33
50000,1,500000,20918,149
50000,1,500000,19549,48
50000,1,500000,3783,131
50000,1,500000,13722,32
50000,1,500000,10078,135
50000,1,500000,19982,167
50000,1,500000,6648,137
50000,1,500000,6775,44
50000,1,500000,16304,66
50000,1,500000,8597,26
50000,1,500000,30250,41
50000,1,500000,31954,98
50000,1,500000,16916,84
50000,1,500000,29515,103
50000,1,500000,30365,178
50000,1,500000,6642,106
50000,1,500000,4481,46
50000,1,500000,2525,40
50000,1,500000,14495,182
50000,1,500000,1541,34
50000,1,500000,27968,121
50000,1,500000,29693,240
50000,1,500000,27241,152
50000,1,500000,26478,139
50000,1,500000,3827,82
50000,1,500000,15959,53
50000,1,500000,31044,147
50000,1,500000,31840,28
50000,1,500000,27093,38
50000,1,500000,17863,97
50000,1,500000,27376,152
50000,1,500000,7852,83
50000,1,500000,28483,59
50000,1,500000,31177,108
50000,1,500000,26181,139
50000,1,500000,14807,195
50000,1,500000,31868,98
50000,1,500000,9009,39
50000,1,500000,12059,187
50000,1,500000,26480,46
50000,1,500000,21925,43
50000,1,500000,796,121
50000,1,500000,6504,44
50000,1,500000,9632,21
50000,1,500000,21008,30
50000,1,500000,24102,95
50000,1,500000,14248,76
50000,1,500000,23555,82
50000,1,500000,7613,132
50000,1,500000,18397,154
50000,1,500000,18562,61
50000,1,500000,8886,96
50000,1,500000,13345,169
50000,1,500000,17014,79
50000,1,500000,10152,42
50000,1,500000,32690,54
50000,1,500000,30759,178
50000,1,500000,1727,55
50000,1,500000,17919,247
50000,1,500000,3672,131
50000,1,500000,3445,105
50000,1,500000,2133,32
50000,1,500000,27904,121
50000,1,500000,17740,79
50000,1,500000,22256,118
50000,1,500000,2583,53
50000,1,500000,20830,255
50000,1,500000,20103,118
50000,1,500000,16002,53
50000,1,500000,22234,162
50000,1,500000,14568,45
50000,1,500000,9640,21
50000,1,500000,10779,148
50000,1,500000,29279,152
50000,1,500000,14258,120
50000,1,500000,28811,196
50000,1,500000,16885,172
50000,1,500000,22146,131
50000,1,500000,18543,167
50000,1,500000,17949,48
50000,1,500000,27677,227
50000,1,500000,4275,64
50000,1,500000,17442,48
50000,1,500000,22383,162
50000,1,500000,8495,83
50000,1,500000,21418,74
50000,1,500000,31990,54
50000,1,500000,12041,187
50000,1,500000,32352,67
50000,1,500000,20823,149
50000,1,500000,105,38
50000,1,500000,31360,28
50000,1,500000,14530,164
50000,1,500000,28952,59
50000,1,500000,17584,35
50000,1,500000,4683,59
50000,1,500000,21956,131
50000,1,500000,13871,182
50000,1,500000,17751,97
50000,1,500000,13266,76
50000,1,500000,19704,211
50000,1,500000,27251,90
50000,1,500000,21289,56
50000,1,500000,8648,140
50000,1,500000,30490,41
50000,1,500000,24901,38
50000,1,500000,6991,57
50000,1,500000,7867,52
50000,1,500000,28237,59
50000,1,500000,26310,139
50000,1,500000,10684,47
50000,1,500000,30185,147
50000,1,500000,17319,53
50000,1,500000,12104,68
50000,1,500000,27336,59
50000,1,500000,1622,135
50000,1,500000,11760,50
50000,1,500000,23298,144
50000,1,500000,28698,121
50000,1,500000,1051,93
50000,1,500000,5543,204
50000,1,500000,25095,139
50000,1,500000,31948,54
50000,1,500000,25601,170
50000,1,500000,8774,140
50000,1,500000,31865,98
50000,1,500000,7370,132
50000,1,500000,9550,60
50000,1,500000,11464,29
50000,1,500000,23289,56
50000,1,500000,19323,180
50000,1,500000,28127,46
50000,1,500000,15207,84
50000,1,500000,17251,53
50000,1,500000,28068,196
50000,1,500000,11383,174
50000,1,500000,27306,20
50000,1,500000,26040,77
50000,1,500000,8841,140
50000,1,500000,13655,182
50000,1,500000,26527,121
50000,1,500000,32092,191
50000,1,500000,12373,125
50000,1,500000,3343,43
50000,1,500000,24421,113
50000,1,500000,4738,121
