N,Min,Max,Random Number,Steps
10000,1,50000,25965,170
10000,1,50000,5579,41
10000,1,50000,16527,159
10000,1,50000,25244,108
10000,1,50000,21400,48
10000,1,50000,172,31
10000,1,50000,10504,29
10000,1,50000,21020,87
10000,1,50000,7572,39
10000,1,50000,8067,70
10000,1,50000,866,28
10000,1,50000,5803,173
10000,1,50000,27730,90
10000,1,50000,6220,36
10000,1,50000,15167,84
10000,1,50000,5298,98
10000,1,50000,23713,175
10000,1,50000,30315,178
10000,1,50000,18686,61
10000,1,50000,21348,56
10000,1,50000,18432,30
10000,1,50000,8244,127
10000,1,50000,24882,139
10000,1,50000,15961,97
10000,1,50000,4016,69
10000,1,50000,17840,97
10000,1,50000,14418,71
10000,1,50000,10873,130
10000,1,50000,7694,145
10000,1,50000,11422,130
10000,1,50000,11954,50
10000,1,50000,8732,140
10000,1,50000,4640,121
10000,1,50000,32185,46
10000,1,50000,30897,59
10000,1,50000,15472,146
10000,1,50000,18798,84
10000,1,50000,30521,72
10000,1,50000,5940,49
10000,1,50000,1050,31
10000,1,50000,15379,58
10000,1,50000,10396,148
10000,1,50000,13396,45
10000,1,50000,12576,63
10000,1,50000,24339,157
10000,1,50000,7078,57
10000,1,50000,14420,58
10000,1,50000,14854,71
10000,1,50000,239,52
10000,1,50000,3751,61
10000,1,50000,10966,117
10000,1,50000,55,112
10000,1,50000,21623,69
10000,1,50000,9212,60
10000,1,50000,13390,45
10000,1,50000,7079,101
10000,1,50000,7648,57
10000,1,50000,10968,117
10000,1,50000,21430,193
10000,1,50000,2487,71
10000,1,50000,13846,89
10000,1,50000,25925,170
10000,1,50000,7300,44
10000,1,50000,17241,27
10000,1,50000,22611,87
10000,1,50000,28517,121
10000,1,50000,4313,51
10000,1,50000,32372,160
10000,1,50000,28145,152
10000,1,50000,11262,161
10000,1,50000,27643,152
10000,1,50000,7818,101
10000,1,50000,19581,74
10000,1,50000,23093,51
10000,1,50000,28933,165
10000,1,50000,6296,62
10000,1,50000,6668,31
10000,1,50000,14490,71
10000,1,50000,4573,33
10000,1,50000,20029,66
10000,1,50000,19410,180
10000,1,50000,22885,82
10000,1,50000,615,69
10000,1,50000,9247,184
10000,1,50000,29424,165
10000,1,50000,3071,154
10000,1,50000,3064,48
10000,1,50000,22411,162
10000,1,50000,19342,74
10000,1,50000,32709,54
10000,1,50000,13582,37
10000,1,50000,22363,162
10000,1,50000,16938,35
10000,1,50000,1032,124
10000,1,50000,4414,170
10000,1,50000,9245,153
10000,1,50000,25391,108
10000,1,50000,2392,120
10000,1,50000,19821,74
10000,1,50000,31601,41
10000,1,50000,26826,46
10000,1,50000,18434,48
10000,1,50000,19523,48
10000,1,50000,21171,149
10000,1,50000,23289,56
10000,1,50000,12247,187
10000,1,50000,26333,139
10000,1,50000,25818,108
10000,1,50000,30181,72
10000,1,50000,1327,52
10000,1,50000,9666,73
10000,1,50000,22432,87
10000,1,50000,19057,79
10000,1,50000,20270,35
10000,1,50000,1561,60
10000,1,50000,15332,58
10000,1,50000,19731,97
10000,1,50000,31558,103
10000,1,50000,7961,145
10000,1,50000,27980,108
10000,1,50000,18147,66
10000,1,50000,23037,113
10000,1,50000,15296,58
10000,1,50000,5422,116
10000,1,50000,23793,100
10000,1,50000,22769,69
10000,1,50000,15560,40
10000,1,50000,21681,131
10000,1,50000,8668,140
10000,1,50000,7705,145
10000,1,50000,22231,162
10000,1,50000,23087,175
10000,1,50000,26016,46
10000,1,50000,26701,69
10000,1,50000,246,47
10000,1,50000,26078,82
10000,1,50000,14256,50
10000,1,50000,22793,131
10000,1,50000,10052,135
10000,1,50000,432,115
10000,1,50000,20293,35
10000,1,50000,2926,141
10000,1,50000,30187,103
10000,1,50000,28791,72
10000,1,50000,19957,136
10000,1,50000,7305,194
10000,1,50000,20564,30
10000,1,50000,6221,36
10000,1,50000,4231,38
10000,1,50000,2264,63
10000,1,50000,18583,35
10000,1,50000,27699,90
10000,1,50000,518,123
10000,1,50000,778,121
10000,1,50000,11062,42
10000,1,50000,6392,75
10000,1,50000,9492,78
10000,1,50000,10247,42
10000,1,50000,29450,134
10000,1,50000,31069,54
10000,1,50000,18305,61
10000,1,50000,13360,138
10000,1,50000,14717,164
